"name"	"attr"	"type"
"Jaqen H'ghar"	"Braavos"	"culture"
"Jaqen H'ghar"	"Many-Faced God"	"religion"
"High Sparrow"	"The"	"last seen"
"High Sparrow"	"High Septon"	"titles"
"High Sparrow"	"Dead"	"status"
"High Sparrow"	"Cersei Lannister"	"death"
"High Sparrow"	"Faith Militant"	"allegiance"
"High Sparrow"	"Riot of King's Landing"	"predecessor"
"High Sparrow"	"Faith of the Seven"	"religion"
"Cersei Lannister"	"Winter is Coming"	"first seen"
"Cersei Lannister"	"Robert Baratheon"	"titles"
"Cersei Lannister"	"Cersei of the House Lannister, the"	"also known as"
"Cersei Lannister"	"Alive"	"status"
"Cersei Lannister"	"Approx. 261 AL"	"date of birth"
"Cersei Lannister"	"The Westerlands"	"origin"
"Cersei Lannister"	"House"	"allegiance"
"Cersei Lannister"	"Lord"	"predecessor"
"Cersei Lannister"	"Andal"	"culture"
"Cersei Lannister"	"Tywin Lannister"	"father"
"Cersei Lannister"	"Joanna Lannister"	"mother"
"Cersei Lannister"	"Robert Baratheon"	"spouse"
"Cersei Lannister"	"Tommen Baratheon"	"children"
"Cersei Lannister"	"Tyrion Lannister"	"siblings"
"Cersei Lannister"	"Lancel Lannister"	"lovers"
"Jaime Lannister"	"Winter is Coming"	"first seen"
"Jaime Lannister"	"Lord"	"titles"
"Jaime Lannister"	"Oathbreaking"	"also known as"
"Jaime Lannister"	"Alive"	"status"
"Jaime Lannister"	"Approx. 261 AL"	"date of birth"
"Jaime Lannister"	"Casterly Rock"	"origin"
"Jaime Lannister"	"Kingsguard"	"allegiance"
"Jaime Lannister"	"Barristan Selmy"	"predecessor"
"Jaime Lannister"	"Andal"	"culture"
"Jaime Lannister"	"Tywin Lannister"	"father"
"Jaime Lannister"	"Joanna Lannister"	"mother"
"Jaime Lannister"	"Tommen Baratheon"	"children"
"Jaime Lannister"	"Tyrion Lannister"	"siblings"
"Jaime Lannister"	"Cersei Lannister"	"lovers"
"Melisandre"	"The North Remembers"	"first seen"
"Melisandre"	"Melisandre of Asshai, Lady Melisandre, The Red Woman, The Red Witch"	"also known as"
"Melisandre"	"Alive"	"status"
"Melisandre"	"97 BAL"	"date of birth"
"Melisandre"	"Asshai"	"origin"
"Melisandre"	"Stannis Baratheon"	"allegiance"
"Melisandre"	"Asshai"	"culture"
"Melisandre"	"R'hllor"	"religion"
"Melisandre"	"Stannis Baratheon"	"lovers"
"Missandei"	"Valar Dohaeris"	"first seen"
"Missandei"	"Alive"	"status"
"Missandei"	"Sothoryos"	"origin"
"Missandei"	"House Targaryen"	"allegiance"
"Missandei"	"Naath"	"culture"
"Missandei"	"Grey Worm"	"lovers"
"Daario Naharis"	"The"	"last seen"
"Daario Naharis"	"Bay of Dragons"	"titles"
"Daario Naharis"	"Alive"	"status"
"Daario Naharis"	"Free Cities"	"origin"
"Daario Naharis"	"House Targaryen"	"allegiance"
"Daario Naharis"	"Tyrosh"	"culture"
"Daario Naharis"	"Daenerys Targaryen"	"lovers"
"Ellaria Sand"	"Two Swords"	"first seen"
"Ellaria Sand"	"Alive"	"status"
"Ellaria Sand"	"Hellholt"	"origin"
"Ellaria Sand"	"House Targaryen"	"allegiance"
"Ellaria Sand"	"Dornishmen"	"culture"
"Ellaria Sand"	"Tyene Sand"	"children"
"Ellaria Sand"	"Paramour"	"lovers"
"Sandbox/Jon Snow (Updated)"	"Lord"	"titles"
"Sandbox/Jon Snow (Updated)"	"The Prince That Was Promised"	"also known as"
"Sandbox/Jon Snow (Updated)"	"Alive"	"status"
"Sandbox/Jon Snow (Updated)"	"Tower of Joy"	"origin"
"Sandbox/Jon Snow (Updated)"	"Night's Watch"	"allegiance"
"Sandbox/Jon Snow (Updated)"	"Northmen"	"culture"
"Sandbox/Jon Snow (Updated)"	"Old"	"religion"
"Davos Seaworth"	"The North Remembers"	"first seen"
"Davos Seaworth"	"Stannis Baratheon"	"titles"
"Davos Seaworth"	"The Onion Knight,"	"also known as"
"Davos Seaworth"	"Alive"	"status"
"Davos Seaworth"	"King's Landing"	"origin"
"Davos Seaworth"	"House"	"allegiance"
"Davos Seaworth"	"Andal"	"culture"
"Davos Seaworth"	"Faith of the Seven"	"religion"
"Davos Seaworth"	"Marya Seaworth"	"spouse"
"Davos Seaworth"	"Matthos Seaworth"	"children"
"Talisa Stark"	"Garden of Bones"	"first seen"
"Talisa Stark"	"The Broken Man"	"mentioned in"
"Talisa Stark"	"Queen"	"titles"
"Talisa Stark"	"Dead"	"status"
"Talisa Stark"	"Lothar Frey"	"death"
"Talisa Stark"	"Volantis"	"origin"
"Talisa Stark"	"Maegyr family"	"allegiance"
"Talisa Stark"	"Volantene"	"culture"
"Talisa Stark"	"Robb Stark"	"spouse"
"Talisa Stark"	"{Unborn child}"	"children"
"Talisa Stark"	"Unnamed brother"	"siblings"
"Viserys Targaryen"	"Winter is Coming"	"first seen"
"Viserys Targaryen"	"A Golden Crown"	"last seen"
"Viserys Targaryen"	"Protector of the Realm"	"titles"
"Viserys Targaryen"	"Viserys of the House Targaryen, the"	"also known as"
"Viserys Targaryen"	"Dead"	"status"
"Viserys Targaryen"	"Approx. 276 AL"	"date of birth"
"Viserys Targaryen"	"Drogo"	"death"
"Viserys Targaryen"	"King's Landing"	"origin"
"Viserys Targaryen"	"House Targaryen"	"allegiance"
"Viserys Targaryen"	"Valyrian"	"culture"
"Viserys Targaryen"	"Faith of the Seven"	"religion"
"Viserys Targaryen"	"Aerys II Targaryen"	"father"
"Viserys Targaryen"	"Rhaella Targaryen"	"mother"
"Viserys Targaryen"	"Daenerys Targaryen"	"siblings"
"Samwell Tarly"	"Cripples, Bastards and Broken Things"	"first seen"
"Samwell Tarly"	"Sam, Ser Piggy, Prince Pork-chop, Lady Piggy,  Sam the Slayer"	"also known as"
"Samwell Tarly"	"Alive"	"status"
"Samwell Tarly"	"Approx. 280 AL"	"date of birth"
"Samwell Tarly"	"The Reach"	"origin"
"Samwell Tarly"	"House Tarly"	"allegiance"
"Samwell Tarly"	"Andal"	"culture"
"Samwell Tarly"	"Old"	"religion"
"Samwell Tarly"	"Randyll Tarly"	"father"
"Samwell Tarly"	"Melessa Florent"	"mother"
"Samwell Tarly"	"Sam"	"children"
"Samwell Tarly"	"Dickon Tarly"	"siblings"
"Samwell Tarly"	"Gilly"	"lovers"
"Tormund"	"Valar Dohaeris"	"first seen"
"Tormund"	"Tormund Giantsbane"	"also known as"
"Tormund"	"Alive"	"status"
"Tormund"	"Beyond the Wall"	"origin"
"Tormund"	"House Stark"	"allegiance"
"Tormund"	"Free Folk"	"culture"
"Tormund"	"2 unseen daughters"	"children"
"Varys"	"Lord Snow"	"first seen"
"Varys"	"Daenerys Targaryen"	"titles"
"Varys"	"The Spider, The Eunuch, Lord Varys"	"also known as"
"Varys"	"Alive"	"status"
"Varys"	"Free Cities"	"origin"
"Varys"	"House"	"allegiance"
"Varys"	"Tommen Baratheon"	"successor"
"Varys"	"Lys"	"culture"
"Ygritte"	"The Old Gods and the New"	"first seen"
"Ygritte"	"The Children"	"last seen"
"Ygritte"	"Dead"	"status"
"Ygritte"	"Olly"	"death"
"Ygritte"	"Beyond the Wall"	"origin"
"Ygritte"	"Free Folk"	"allegiance"
"Ygritte"	"Free Folk"	"culture"
"Ygritte"	"Jon Snow"	"lovers"
"Anara"	"The"	"appeared in"
"Anara"	"Alive"	"status"
"Anara"	"Braavos"	"origin"
"Anara"	"Braavos"	"culture"
"Jon Arryn"	"Mockingbird"	"mentioned in"
"Jon Arryn"	"Robert Baratheon"	"titles"
"Jon Arryn"	"Dead"	"status"
"Jon Arryn"	"Petyr Baelish"	"death"
"Jon Arryn"	"The Eyrie"	"origin"
"Jon Arryn"	"House Arryn"	"allegiance"
"Jon Arryn"	"Aerys II Targaryen"	"predecessor"
"Jon Arryn"	"Robert Baratheon"	"successor"
"Jon Arryn"	"Andal"	"culture"
"Jon Arryn"	"Jasper Arryn"	"father"
"Jon Arryn"	"Lysa Arryn"	"spouse"
"Jon Arryn"	"Robin Arryn"	"children"
"Jon Arryn"	"Ronnel Arryn"	"siblings"
"Arwaya Frey"	"Baelor"	"first seen"
"Arwaya Frey"	"Alive"	"status"
"Arwaya Frey"	"The Twins"	"origin"
"Arwaya Frey"	"House Frey"	"allegiance"
"Arwaya Frey"	"Andal"	"culture"
"Arwaya Frey"	"Walder Frey"	"father"
"Arwaya Frey"	"Kitty Frey"	"mother"
"Arwaya Frey"	"Walder Rivers"	"siblings"
"Ash"	"Book of the Stranger"	"appeared in"
"Ash"	"Alive"	"status"
"Ash"	"Meereen"	"origin"
"Ash"	"Meereen"	"culture"
"Attendant "	"The"	"appeared in"
"Attendant "	"Alive"	"status"
"Aya"	"The"	"appeared in"
"Aya"	"Alive"	"status"
"Aya"	"Braavos"	"origin"
"Aya"	"Braavos"	"culture"
"Bald Dragonstone servant"	"The Lion and the Rose"	"appeared in"
"Bald Dragonstone servant"	"Alive"	"status"
"Bald Dragonstone servant"	"House"	"allegiance"
"Baratheon soldier (Mother's Mercy)"	"Mother's Mercy"	"appeared in"
"Baratheon soldier (Mother's Mercy)"	"Dead"	"status"
"Baratheon soldier (Mother's Mercy)"	"Ramsay Bolton"	"death"
"Baratheon soldier (Mother's Mercy)"	"House"	"allegiance"
"Bathhouse prostitute"	"The"	"appeared in"
"Bathhouse prostitute"	"Alive"	"status"
"Bathhouse prostitute"	"Braavos"	"origin"
"Bathhouse prostitute"	"Braavos"	"culture"
"Bear Island maester"	"The Broken Man"	"appeared in"
"Bear Island maester"	"Alive"	"status"
"Bear Island maester"	"House Mormont"	"allegiance"
"Bear Island maester"	"Northmen"	"culture"
"Beggar woman"	"Alive"	"status"
"Beggar woman"	"King's Landing"	"origin"
"Beggar woman"	"Faith of the Seven"	"religion"
"Billy"	"A Man Without Honor"	"appeared in"
"Billy"	"Dead"	"status"
"Billy"	"Theon Greyjoy"	"death"
"Billy"	"Winterfell"	"origin"
"Billy"	"House Stark"	"allegiance"
"Billy"	"Northmen"	"culture"
"Billy"	"Jack"	"siblings"
"Blackmont (Lord)"	"Two Swords"	"first seen"
"Blackmont (Lord)"	"Lord of Blackmont"	"titles"
"Blackmont (Lord)"	"Alive"	"status"
"Blackmont (Lord)"	"Blackmont"	"origin"
"Blackmont (Lord)"	"House Blackmont"	"allegiance"
"Blackmont (Lord)"	"Dornishmen"	"culture"
"Boake"	"Boake"	"appeared in"
"Boake"	"Uncertain"	"status"
"Boake"	"Faith Militant"	"allegiance"
"Boake"	"Faith of the Seven"	"religion"
"Boat commander"	"Valar Dohaeris"	"appeared in"
"Boat commander"	"Alive"	"status"
"Boat commander"	"Lys"	"origin"
"Boat commander"	"Salladhor Saan"	"allegiance"
"Boat commander"	"Lys"	"culture"
"Bolton (son of Roose)"	"Home"	"appeared in"
"Bolton (son of Roose)"	"Dead"	"status"
"Bolton (son of Roose)"	"Ramsay Bolton"	"death"
"Bolton (son of Roose)"	"Winterfell"	"origin"
"Bolton (son of Roose)"	"House Bolton"	"allegiance"
"Bolton (son of Roose)"	"Roose Bolton"	"father"
"Bolton (son of Roose)"	"Walda Bolton"	"mother"
"Bolton (son of Roose)"	"Ramsay Bolton"	"siblings"
"Bolton guard "	"The"	"appeared in"
"Bolton guard "	"Dead"	"status"
"Bolton guard "	"Yara Greyjoy"	"death"
"Bolton guard "	"House Bolton"	"allegiance"
"Bolton guard "	"Northmen"	"culture"
"Bolton man 2"	"And Now His Watch is Ended"	"first seen"
"Bolton man 2"	"Uncertain"	"status"
"Bolton man 2"	"House Bolton"	"allegiance"
"Bolton man 2"	"Northmen"	"culture"
"Bolton soldier (The Red Woman)"	"The Red Woman"	"appeared in"
"Bolton soldier (The Red Woman)"	"Dead"	"status"
"Bolton soldier (The Red Woman)"	"House Bolton"	"allegiance"
"Bolton soldier (Walk of Punishment)"	"Walk of Punishment"	"appeared in"
"Bolton soldier (Walk of Punishment)"	"Alive"	"status"
"Bolton soldier (Walk of Punishment)"	"House Bolton"	"allegiance"
"Bolton soldier (Walk of Punishment)"	"Northmen"	"culture"
"Bolton soldier 1"	"And Now His Watch is Ended"	"first seen"
"Bolton soldier 1"	"Uncertain"	"status"
"Bolton soldier 1"	"House Bolton"	"allegiance"
"Bolton soldier 1"	"Northmen"	"culture"
"Braavosi captain"	"Alive"	"status"
"Braavosi captain"	"Braavos"	"origin"
"Braavosi captain"	"Braavos"	"culture"
"Braavosi madam"	"The"	"appeared in"
"Braavosi madam"	"Alive"	"status"
"Braavosi madam"	"Braavos"	"origin"
"Braavosi madam"	"Braavos"	"culture"
"Braavosi prostitute"	"The"	"appeared in"
"Braavosi prostitute"	"Alive"	"status"
"Braavosi prostitute"	"Braavos"	"origin"
"Braavosi prostitute"	"Braavos"	"culture"
"Braavosi woman 1 (The Door)"	"The Door"	"first seen"
"Braavosi woman 1 (The Door)"	"Alive"	"status"
"Braavosi woman 1 (The Door)"	"Braavos"	"origin"
"Braavosi woman 1 (The Door)"	"Braavos"	"culture"
"Bethany Bracken"	"The Kingsguard (Histories &amp; Lore)"	"mentioned in"
"Bethany Bracken"	"Dead"	"status"
"Bethany Bracken"	"Stone Hedge"	"origin"
"Bethany Bracken"	"House Bracken"	"allegiance"
"Bethany Bracken"	"Andal"	"culture"
"Bethany Bracken"	"Terrence Toyne"	"lovers"
"Jonos Bracken"	"Fire and Blood"	"appeared in"
"Jonos Bracken"	"Cripples, Bastards and Broken Things"	"mentioned in"
"Jonos Bracken"	"Lord of Stone Hedge"	"titles"
"Jonos Bracken"	"Alive"	"status"
"Jonos Bracken"	"Stone Hedge"	"origin"
"Jonos Bracken"	"House Tully"	"allegiance"
"Jonos Bracken"	"Andal"	"culture"
"Brant"	"Brant"	"appeared in"
"Brant"	"Alive"	"status"
"Brant"	"Night's Watch"	"allegiance"
"Brea"	"The"	"appeared in"
"Brea"	"Alive"	"status"
"Brea"	"Braavos"	"origin"
"Brea"	"Braavos"	"culture"
"Brothel child 1"	"Mother's Mercy"	"appeared in"
"Brothel child 1"	"Alive"	"status"
"Brothel child 1"	"Braavos"	"origin"
"Brothel child 1"	"Braavos"	"culture"
"Brothel child 2"	"Mother's Mercy"	"appeared in"
"Brothel child 2"	"Alive"	"status"
"Brothel child 2"	"Braavos"	"origin"
"Brothel child 2"	"Braavos"	"culture"
"Brothel guard"	"Alive"	"status"
"Brothel guard"	"Volantis"	"origin"
"Brothel guard"	"Volantis"	"culture"
"Brozho"	"Book of the Stranger"	"appeared in"
"Brozho"	"Khal"	"titles"
"Brozho"	"Dead"	"status"
"Brozho"	"Daenerys Targaryen"	"death"
"Brozho"	"Dothraki Sea"	"origin"
"Brozho"	"Himself"	"allegiance"
"Brozho"	"Dothraki"	"culture"
"Brozho"	"Great Stallion"	"religion"
"Brusco"	"The"	"appeared in"
"Brusco"	"Alive"	"status"
"Brusco"	"Braavos"	"origin"
"Brusco"	"Braavos"	"culture"
"Jack Bulwer"	"The Mountain and the Viper"	"appeared in"
"Jack Bulwer"	"Black Jack Bulwer"	"also known as"
"Jack Bulwer"	"Dead"	"status"
"Jack Bulwer"	"Wildlings"	"death"
"Jack Bulwer"	"Blackcrown"	"origin"
"Jack Bulwer"	"House Bulwer"	"allegiance"
"Jack Bulwer"	"Andal"	"culture"
"Captain of the archers (House Bolton)"	"Battle of the Bastards"	"appeared in"
"Captain of the archers (House Bolton)"	"Uncertain"	"status"
"Captain of the archers (House Bolton)"	"House Bolton"	"allegiance"
"Captain of the archers (House Bolton)"	"Northmen"	"culture"
"Captain of the archers (House Bolton)"	"Old"	"religion"
"Captain of the archers (House Lannister)"	"Blackwater"	"appeared in"
"Captain of the archers (House Lannister)"	"Uncertain"	"status"
"Captain of the archers (House Lannister)"	"House Lannister"	"allegiance"
"Captain's daughter"	"The Night Lands"	"appeared in"
"Captain's daughter"	"Alive"	"status"
"Catspaw assassin"	"The Kingsroad"	"appeared in"
"Catspaw assassin"	"Dead"	"status"
"Catspaw assassin"	"Summer"	"death"
"Catspaw assassin"	"Unknown (see \"In the books\" section)"	"allegiance"
"Cley Cerwyn"	"The"	"appeared in"
"Cley Cerwyn"	"Castle Cerwyn"	"titles"
"Cley Cerwyn"	"Alive"	"status"
"Cley Cerwyn"	"Castle Cerwyn"	"origin"
"Cley Cerwyn"	"House Stark"	"allegiance"
"Cley Cerwyn"	"Northmen"	"culture"
"Cley Cerwyn"	"Old"	"religion"
"Cley Cerwyn"	"Medger Cerwyn"	"father"
"Child of the Forest 2 (The Children)"	"The Children"	"first seen"
"Child of the Forest 2 (The Children)"	"White Walkers"	"status"
"Child of the Forest 2 (The Children)"	"Children of the Forest"	"allegiance"
"Child of the Forest 2 (The Children)"	"Children of the Forest"	"culture"
"Child of the Forest 2 (The Children)"	"Old"	"religion"
"Child of the Forest 3"	"The Door"	"first seen"
"Child of the Forest 3"	"More than 12,000 years"	"age"
"Child of the Forest 3"	"Cave of the three-eyed raven"	"death"
"Child of the Forest 3"	"Children of the Forest"	"allegiance"
"Child of the Forest 3"	"Children of the Forest"	"culture"
"Child of the Forest 3"	"Old"	"religion"
"Child of the Forest 4"	"The Door"	"first seen"
"Child of the Forest 4"	"More than 12,000 years"	"age"
"Child of the Forest 4"	"Cave of the three-eyed raven"	"death"
"Child of the Forest 4"	"Children of the Forest"	"allegiance"
"Child of the Forest 4"	"Children of the Forest"	"culture"
"Child of the Forest 4"	"Old"	"religion"
"Clea"	"Alive"	"status"
"Clea"	"Volantis"	"origin"
"Clea"	"Volantis"	"culture"
"Colen"	"What is Dead May Never Die"	"appeared in"
"Colen"	"Knighthood"	"titles"
"Colen"	"Alive"	"status"
"Colen"	"Renly Baratheon"	"allegiance"
"Cooper"	"The Watchers on the Wall"	"appeared in"
"Cooper"	"Dead"	"status"
"Cooper"	"Mag Mar Tun Doh Weg"	"death"
"Cooper"	"Night's Watch"	"allegiance"
"Cooper"	"Faith of the Seven"	"religion"
"Desmond Crakehall"	"Mhysa"	"appeared in"
"Desmond Crakehall"	"Lord of Crakehall"	"titles"
"Desmond Crakehall"	"Alive"	"status"
"Desmond Crakehall"	"Crakehall"	"origin"
"Desmond Crakehall"	"House Crakehall"	"allegiance"
"Craster's last son"	"Blood of My Blood"	"appeared in"
"Craster's last son"	"Uncertain"	"status"
"Craster's last son"	"Craster's Keep"	"origin"
"Craster's last son"	"White Walkers"	"allegiance"
"Craster's last son"	"White Walkers"	"culture"
"Craster's last son"	"Craster"	"father"
"Craster's wife (Walk of Punishment)"	"Walk of Punishment"	"appeared in"
"Craster's wife (Walk of Punishment)"	"Alive"	"status"
"Craster's wife (Walk of Punishment)"	"Craster's Keep"	"origin"
"Craster's wife (Walk of Punishment)"	"Craster"	"allegiance"
"Craster's wife (Walk of Punishment)"	"Free Folk"	"culture"
"Craster's wife (Walk of Punishment)"	"White Walkers"	"religion"
"Craster's wife (Walk of Punishment)"	"Craster"	"father"
"Craster's wife (Walk of Punishment)"	"Craster"	"spouse"
"Craster's Wife 1 (Oathkeeper)"	NA	NA
"Craster's wife 2 (Oathkeeper)"	"Oathkeeper"	"appeared in"
"Craster's wife 2 (Oathkeeper)"	"Alive"	"status"
"Craster's wife 2 (Oathkeeper)"	"Craster's Keep"	"origin"
"Craster's wife 2 (Oathkeeper)"	"Craster"	"allegiance"
"Craster's wife 2 (Oathkeeper)"	"Free Folk"	"culture"
"Craster's wife 2 (Oathkeeper)"	"White Walkers"	"religion"
"Craster's wife 2 (Oathkeeper)"	"Craster"	"father"
"Craster's wife 2 (Oathkeeper)"	"Craster"	"spouse"
"Craster's wife 3 (Oathkeeper)"	"Oathkeeper"	"appeared in"
"Craster's wife 3 (Oathkeeper)"	"Alive"	"status"
"Craster's wife 3 (Oathkeeper)"	"Craster's Keep"	"origin"
"Craster's wife 3 (Oathkeeper)"	"Craster"	"allegiance"
"Craster's wife 3 (Oathkeeper)"	"Free Folk"	"culture"
"Craster's wife 3 (Oathkeeper)"	"White Walkers"	"religion"
"Craster's wife 3 (Oathkeeper)"	"Craster"	"father"
"Craster's wife 3 (Oathkeeper)"	"Craster"	"spouse"
"Craster's younger wife (Walk of Punishment)"	"Walk of Punishment"	"appeared in"
"Craster's younger wife (Walk of Punishment)"	"Alive"	"status"
"Craster's younger wife (Walk of Punishment)"	"Craster's Keep"	"origin"
"Craster's younger wife (Walk of Punishment)"	"Craster"	"allegiance"
"Craster's younger wife (Walk of Punishment)"	"Free Folk"	"culture"
"Craster's younger wife (Walk of Punishment)"	"Craster"	"father"
"Craster's younger wife (Walk of Punishment)"	"Craster"	"spouse"
"Cressen"	"The North Remembers"	"appeared in"
"Cressen"	"Maester"	"titles"
"Cressen"	"Dead"	"status"
"Cressen"	"Poison"	"death"
"Cressen"	"Dragonstone"	"allegiance"
"Cressen"	"Faith of the Seven"	"religion"
"Dareon"	"You Win or You Die"	"appeared in"
"Dareon"	"Alive"	"status"
"Dareon"	"The Reach"	"origin"
"Dareon"	"Night's Watch"	"allegiance"
"Derek"	"Derek"	"appeared in"
"Derek"	"Alive"	"status"
"Derek"	"Night's Watch"	"allegiance"
"Despondent man"	"Dead"	"status"
"Despondent man"	"Jaqen H'ghar"	"death"
"Despondent man"	"Braavos"	"origin"
"Despondent man"	"Braavos"	"culture"
"Despondent man"	"God of Death"	"religion"
"Dim Dalba"	"Uncertain"	"status"
"Dim Dalba"	"Mance Rayder"	"allegiance"
"Dim Dalba"	"Free Folk"	"culture"
"Dim Dalba"	"Old"	"religion"
"Donnel Hill"	"The Watchers on the Wall"	"appeared in"
"Donnel Hill"	"Ranger"	"titles"
"Donnel Hill"	"Dead"	"status"
"Donnel Hill"	"Mag Mar Tun Doh Weg"	"death"
"Donnel Hill"	"Night's Watch"	"allegiance"
"Dothraki crone"	"A Golden Crown"	"appeared in"
"Dothraki crone"	"Khaleesi"	"titles"
"Dothraki crone"	"Alive"	"status"
"Dothraki crone"	"Dothraki Sea"	"origin"
"Dothraki crone"	"Dosh khaleen"	"allegiance"
"Dothraki crone"	"Dothraki"	"culture"
"Dothraki crone"	"Great Stallion"	"religion"
"Dothraki man having sex (Book of the Stranger)"	"Book of the Stranger"	"appeared in"
"Dothraki man having sex (Book of the Stranger)"	"Alive"	"status"
"Dothraki man having sex (Book of the Stranger)"	"Dothraki Sea"	"origin"
"Dothraki man having sex (Book of the Stranger)"	"Dothraki"	"culture"
"Dothraki man having sex (Book of the Stranger)"	"Great Stallion"	"religion"
"Dothraki pit fighter"	"Dead"	"status"
"Dothraki pit fighter"	"Dothraki Sea"	"origin"
"Dothraki pit fighter"	"Dothraki"	"allegiance"
"Dothraki pit fighter"	"Dothraki"	"culture"
"Dothraki pit fighter"	"Great Stallion"	"religion"
"Dothraki widow 2"	"Oathbreaker"	"first seen"
"Dothraki widow 2"	"Alive"	"status"
"Dothraki widow 2"	"Dothraki Sea"	"origin"
"Dothraki widow 2"	"Dothraki"	"culture"
"Dothraki widow 2"	"Great Stallion"	"religion"
"Dothraki widow 3"	"Oathbreaker"	"first seen"
"Dothraki widow 3"	"Alive"	"status"
"Dothraki widow 3"	"Dothraki Sea"	"origin"
