customerNr,year_of_birth,education,marital_status,income,kids,teens,customer_since,last_purchase_in_days,web_purchases,catalog_purchases,store_purchases,web_visits,campaign3,campaign4,campaign5,campaign1,campaign2,country
4399,1969,Graduation,Together,"$68,695.00",0,0,6/25/14,3,4,4,7,2,0,0,0,0,0,CA
4452,1957,Graduation,Single,"$50,388.00",0,1,5/28/14,3,6,1,6,7,0,1,0,1,0,GER
4785,1970,PhD,Together,"$77,622.00",0,2,4/14/14,3,6,3,11,3,0,0,0,0,0,SA
8461,1962,Graduation,Divorced,"$46,102.00",2,1,3/10/14,3,1,0,2,7,0,0,0,0,0,SP
3878,1980,2n Cycle,Single,"$31,859.00",1,0,2/27/14,3,1,0,3,7,0,0,0,0,0,SP
9612,1987,2n Cycle,Single,"$23,830.00",0,0,2/7/14,3,1,0,3,7,0,0,0,0,0,SP
4098,1973,Graduation,Married,"$24,639.00",1,1,1/28/14,3,2,0,4,6,0,0,0,0,0,AUS
158,1945,PhD,Together,"$71,604.00",0,0,11/17/13,3,8,3,5,4,1,0,0,0,0,SP
3896,1984,Graduation,Married,"$27,255.00",1,0,11/7/13,3,1,0,3,7,0,0,0,0,0,SP
9970,1977,Graduation,Together,"$55,375.00",0,1,10/17/13,3,1,1,6,2,0,0,0,0,0,CA
4002,1960,PhD,Married,"$77,037.00",0,1,10/13/13,3,7,7,12,3,0,0,0,0,0,SP
10914,1970,Graduation,Single,"$24,163.00",1,1,10/12/13,3,1,0,3,4,0,0,0,0,0,SP
7279,1969,PhD,Together,"$69,476.00",0,0,9/30/13,3,4,6,4,2,0,0,0,0,0,US
10582,1979,Graduation,Married,"$72,063.00",0,1,7/3/13,3,5,2,12,2,0,0,0,0,0,GER
4470,1962,Master,Married,"$58,646.00",0,1,6/10/13,3,2,1,4,4,0,0,0,0,0,SP
6183,1962,Master,Married,"$58,646.00",0,1,6/10/13,3,2,1,4,4,0,0,0,0,0,GER
6379,1949,Master,Widow,"$47,570.00",1,1,5/29/13,3,2,2,2,7,0,0,0,0,0,US
8601,1980,Graduation,Married,"$80,011.00",0,1,4/29/13,3,8,6,5,4,0,0,0,0,0,AUS
4827,1956,PhD,Single,"$54,998.00",0,1,3/10/13,3,4,2,9,4,0,0,0,0,0,SP
6715,1948,PhD,Single,"$60,200.00",0,1,1/2/13,3,6,2,11,6,0,0,0,0,0,SP
10676,1982,Graduation,Married,"$63,211.00",0,0,11/2/12,3,3,8,7,2,0,0,0,0,0,SP
1041,1973,PhD,Single,"$48,432.00",0,1,10/18/12,3,7,1,6,8,0,0,0,0,0,SA
492,1973,PhD,YOLO,"$48,432.00",0,1,10/18/12,3,7,1,6,8,0,0,0,0,0,CA
11133,1973,PhD,YOLO,"$48,432.00",0,1,10/18/12,3,7,1,6,8,0,0,0,0,0,IND
4491,1949,Master,Married,"$62,845.00",1,1,10/1/12,3,3,4,10,8,0,1,0,0,0,SP
873,1949,Master,Married,"$62,845.00",1,1,10/1/12,3,3,4,10,8,0,1,0,0,0,SP
1631,1965,PhD,Together,"$65,220.00",0,0,9/3/12,3,8,4,7,6,0,0,0,0,0,GER
8278,1990,PhD,Married,"$74,214.00",0,0,8/26/12,3,8,2,5,5,0,0,0,0,0,SP
6815,1980,2n Cycle,Married,"$96,547.00",0,0,5/23/14,4,7,6,8,2,1,0,1,1,0,SP
254,1955,Graduation,Together,"$53,863.00",0,1,5/17/14,4,7,1,7,7,0,1,0,0,0,SP
1349,1970,Graduation,Married,"$50,447.00",2,0,4/21/14,4,3,1,3,6,0,0,0,0,0,IND
2534,1953,Graduation,Married,"$37,716.00",0,1,4/21/14,4,4,1,3,7,0,0,0,0,0,AUS
2130,1982,Graduation,Together,"$45,203.00",2,0,3/23/14,4,3,1,3,6,0,0,0,0,0,SA
2296,1975,Master,Married,"$37,368.00",1,0,12/16/13,4,1,0,2,6,1,0,0,0,0,SP
3799,1955,Graduation,Married,"$67,225.00",0,1,11/26/13,4,7,2,11,5,0,0,0,0,0,US
11084,1976,Master,Together,"$65,104.00",0,1,11/14/13,4,3,5,7,7,0,0,0,0,0,CA
5172,1976,Master,Together,"$65,104.00",0,1,11/14/13,4,3,5,7,7,0,0,0,0,0,SP
9504,1949,Master,Married,"$81,698.00",0,0,11/6/13,4,3,8,13,1,0,0,0,0,0,SP
850,1968,Graduation,Single,"$70,566.00",0,1,10/6/13,4,6,5,9,3,0,0,0,0,0,SP
4477,1958,Graduation,Together,"$69,096.00",0,1,9/27/13,4,5,2,10,4,0,0,0,0,0,GER
1945,1962,Graduation,Married,"$71,434.00",0,1,9/18/13,4,7,4,7,4,0,1,0,1,0,SP
7685,1978,Graduation,Married,"$33,039.00",1,0,9/9/13,4,2,0,4,5,0,0,0,0,0,SP
6310,1978,Graduation,Married,"$33,039.00",1,0,9/9/13,4,2,0,4,5,0,0,0,0,0,CA
10832,1958,Graduation,Together,"$46,610.00",0,0,7/18/13,4,6,1,6,6,0,0,0,0,0,SP
3025,1958,Graduation,Single,"$49,967.00",0,1,7/8/13,4,6,1,5,7,0,0,0,0,0,CA
2404,1976,Graduation,Married,"$53,359.00",1,1,5/27/13,4,5,1,4,7,0,0,0,0,0,US
8581,1971,Master,Married,"$49,505.00",1,1,3/5/13,4,10,2,8,8,0,0,0,0,0,SP
8755,1946,Master,Married,"$68,657.00",0,0,2/20/13,4,3,5,9,7,0,0,0,0,0,AUS
10177,1954,Graduation,Divorced,"$72,071.00",0,1,2/14/13,4,5,4,8,2,0,0,0,0,0,SP
2429,1954,Graduation,Divorced,"$72,071.00",0,1,2/14/13,4,5,4,8,2,0,0,0,0,0,CA
8920,1967,Master,Single,"$59,235.00",1,0,1/12/13,4,11,2,12,7,0,0,0,0,0,IND
8430,1957,Graduation,Together,"$21,994.00",0,1,12/24/12,4,0,0,3,5,0,0,0,0,0,AUS
8619,1957,Graduation,Together,"$21,994.00",0,1,12/24/12,4,0,0,3,5,0,0,0,0,0,SP
8996,1957,PhD,Married,NA,2,1,11/19/12,4,7,2,8,9,0,0,0,0,0,GER
7233,1972,Graduation,Married,"$69,209.00",0,0,9/17/12,4,5,3,6,4,0,0,0,1,0,CA
6678,1989,Graduation,Together,"$31,928.00",1,0,3/28/14,5,3,0,4,7,0,0,0,0,0,IND
830,1987,PhD,Single,"$74,004.00",0,0,2/24/14,5,4,6,4,3,0,0,1,1,0,IND
6365,1987,2n Cycle,Married,"$30,390.00",0,0,9/2/13,5,2,0,3,6,0,0,0,0,0,IND
6770,1985,Graduation,Married,"$21,355.00",1,0,8/20/13,5,2,1,2,6,1,0,0,0,0,US
2261,1969,Graduation,Married,"$26,304.00",1,0,6/23/13,5,1,0,2,7,0,0,0,0,0,GER
1031,1989,2n Cycle,Married,"$85,710.00",0,0,5/5/13,5,6,9,10,2,0,0,1,0,0,IND
10089,1974,Graduation,Divorced,"$102,692.00",0,0,4/5/13,5,6,9,13,2,0,1,1,1,1,SA
9256,1971,Graduation,Single,"$58,350.00",0,1,1/4/13,5,8,3,12,6,0,0,0,0,0,SP
10641,1978,Graduation,Single,"$7,500.00",1,1,12/27/12,5,2,1,3,6,0,0,0,0,0,SP
624,1984,Master,Single,"$18,890.00",0,0,11/10/12,5,0,1,2,6,1,0,0,0,0,SA
4211,1986,Basic,Married,"$20,425.00",1,0,10/29/12,5,2,0,3,7,0,0,0,0,0,CA
1407,1986,Basic,Married,"$20,425.00",1,0,10/29/12,5,2,0,3,7,0,0,0,0,0,GER
10356,1957,PhD,Divorced,"$41,437.00",1,1,9/22/12,5,1,0,3,7,0,0,0,0,0,SP
9323,1949,Master,Together,"$49,912.00",0,1,9/7/12,5,10,5,7,8,1,0,0,0,0,ME
1146,1949,Master,Together,"$49,912.00",0,1,9/7/12,5,10,5,7,8,1,0,0,0,0,AUS
6343,1959,Graduation,Married,"$79,823.00",0,1,3/31/14,6,6,9,7,2,0,1,0,0,0,AUS
8545,1954,Graduation,Divorced,"$85,683.00",0,0,3/21/14,6,2,4,10,1,0,1,1,1,1,SP
8275,1965,PhD,Divorced,"$47,025.00",1,1,2/9/14,6,1,0,2,7,0,0,0,0,0,SP
10673,1976,PhD,Married,"$68,397.00",0,1,11/17/13,6,6,9,5,3,0,0,0,0,0,SA
8799,1984,PhD,Married,"$38,175.00",1,0,9/23/13,6,3,1,4,7,0,0,0,0,0,SP
67,1972,Master,Single,"$46,423.00",1,1,9/18/13,6,2,0,4,7,0,0,0,0,0,SP
9923,1972,Master,Single,"$46,423.00",1,1,9/18/13,6,2,0,4,7,0,0,0,0,0,SP
2814,1976,Master,Together,"$30,560.00",1,0,6/27/13,6,1,0,3,7,0,0,0,0,0,SA
2711,1976,Master,Together,"$30,560.00",1,0,6/27/13,6,1,0,3,7,0,0,0,0,0,CA
4320,1979,Graduation,Single,"$60,152.00",0,1,3/28/13,6,6,4,12,3,0,0,0,0,0,SP
10451,1965,Graduation,Together,"$29,672.00",1,1,3/12/13,6,0,0,3,6,0,0,0,0,0,SA
4198,1965,Graduation,Together,"$29,672.00",1,1,3/12/13,6,0,0,3,6,0,0,0,0,0,SP
10814,1947,Graduation,Together,"$70,321.00",0,0,1/16/13,6,6,5,13,4,0,0,0,0,0,SP
944,1962,Graduation,Married,"$56,181.00",0,1,1/8/13,6,4,2,7,4,0,0,0,0,0,SP
8151,1990,Basic,Married,"$24,279.00",0,0,12/29/12,6,4,1,3,8,0,0,0,0,0,SP
6184,1969,PhD,Married,"$68,462.00",0,0,12/12/12,6,3,3,8,1,0,0,0,0,0,SP
3498,1976,PhD,Married,"$55,424.00",0,1,11/25/12,6,7,5,9,6,1,0,0,0,0,SP
2870,1973,Graduation,Married,"$49,094.00",0,1,9/21/12,6,6,3,6,6,0,0,0,0,0,SP
7342,1961,2n Cycle,Widow,"$59,184.00",0,1,9/9/12,6,6,6,12,5,0,0,0,0,0,SP
1911,1987,Graduation,Together,"$67,430.00",0,0,9/5/12,6,11,5,12,6,0,0,0,0,0,GER
10862,1960,Master,Married,"$30,522.00",0,1,8/17/12,6,1,2,9,2,0,0,0,0,0,SP
2546,1977,2n Cycle,Single,"$31,878.00",0,1,6/22/14,7,1,0,4,3,0,0,0,0,0,SP
3005,1992,Graduation,Single,"$83,528.00",0,0,5/1/14,7,4,10,8,1,1,0,0,1,0,SP
8318,1979,Graduation,Together,"$90,300.00",0,0,1/3/14,7,5,6,8,1,0,0,1,0,0,SP
2930,1978,Master,Single,"$68,092.00",0,0,12/16/13,7,2,6,10,5,0,0,0,0,0,SA
8216,1972,Master,Married,"$53,761.00",1,1,10/11/13,7,4,4,3,5,0,0,0,0,0,AUS
1212,1973,Graduation,Married,"$52,845.00",1,0,8/13/13,7,8,8,6,6,1,0,0,0,0,SP
2541,1976,Graduation,Married,"$24,027.00",1,0,6/9/13,7,2,0,3,8,0,0,0,0,0,SP
10659,1979,2n Cycle,Together,"$7,500.00",1,0,5/7/13,7,3,2,2,7,0,0,0,0,0,IND
10905,1955,Graduation,Together,"$42,586.00",1,1,10/29/12,7,4,1,6,8,0,0,0,0,0,SP
8910,1955,Graduation,Together,"$42,586.00",1,1,10/29/12,7,4,1,6,8,0,0,0,0,0,SP
7349,1973,Basic,Together,"$9,722.00",1,0,10/2/12,7,3,1,3,8,0,0,0,0,0,SP
7872,1975,PhD,Married,"$86,836.00",0,0,9/12/12,7,6,10,6,5,1,0,1,1,0,SP
4290,1972,Graduation,Married,"$30,467.00",1,0,3/19/14,8,1,0,2,7,0,0,0,0,0,CA
7408,1952,PhD,Married,"$54,549.00",0,1,3/3/14,8,5,1,4,7,0,0,0,0,0,SA
9986,1982,Graduation,Together,"$19,444.00",1,0,2/22/14,8,4,1,2,7,0,0,0,0,0,SA
8235,1956,Master,Together,"$69,245.00",0,1,1/24/14,8,6,5,10,3,0,0,0,0,0,SA
10949,1963,PhD,Divorced,"$72,968.00",0,0,12/16/13,8,5,5,8,3,0,0,0,1,0,SP
7284,1953,Graduation,Married,"$48,686.00",1,2,12/4/13,8,1,0,2,8,0,0,0,0,0,SP
9529,1990,Graduation,Married,"$73,687.00",0,0,11/28/13,8,3,9,9,2,0,0,0,1,0,SA
9930,1944,PhD,Single,"$82,716.00",0,0,11/5/13,8,6,8,13,2,0,0,0,0,0,CA
10270,1981,2n Cycle,Married,"$35,523.00",1,0,10/3/13,8,3,0,3,7,0,0,0,0,0,GER
760,1975,PhD,Divorced,"$60,554.00",1,0,8/9/13,8,8,4,9,6,0,0,0,0,0,SA
5519,1956,Graduation,Together,"$64,090.00",0,1,8/7/13,8,6,9,4,5,0,0,0,0,0,SA
232,1965,Graduation,Single,"$61,559.00",0,1,7/17/13,8,4,2,10,3,0,0,0,0,0,SP
3009,1962,PhD,Widow,"$71,670.00",0,0,7/9/13,8,5,3,6,6,0,1,1,0,1,SP
6518,1951,PhD,Widow,"$67,680.00",0,1,6/11/13,8,7,3,8,5,0,0,0,0,0,AUS
10669,1981,Graduation,Married,"$54,386.00",0,1,5/17/13,8,3,2,10,3,0,0,0,0,0,SP
5682,1953,PhD,Single,"$64,108.00",0,1,3/23/13,8,6,9,11,5,0,0,0,0,0,AUS
1570,1951,PhD,Together,"$69,702.00",0,1,2/19/13,8,7,7,10,4,0,0,0,0,0,SP
1497,1952,Graduation,Single,"$47,958.00",0,1,1/19/13,8,6,3,5,5,0,0,0,0,0,SA
9723,1960,Graduation,Married,"$67,716.00",0,1,1/10/13,8,7,4,13,5,0,1,0,0,0,CA
7261,1971,Graduation,Together,"$34,600.00",1,1,1/1/13,8,5,2,5,8,0,0,0,0,0,SP
2452,1971,Graduation,Together,"$34,600.00",1,1,1/1/13,8,5,2,5,8,0,0,0,0,0,SP
5621,1969,Graduation,Married,"$48,752.00",1,1,12/12/12,8,6,1,5,9,0,0,0,0,0,SP
10995,1988,2n Cycle,Married,"$15,716.00",1,0,11/12/12,8,3,0,4,8,0,0,0,0,0,SA
7373,1952,PhD,Divorced,"$46,610.00",0,2,10/29/12,8,4,1,6,6,0,0,0,0,0,AUS
5331,1977,Graduation,Married,"$74,985.00",0,0,9/11/12,8,3,6,7,2,0,0,0,0,0,GER
263,1945,PhD,Single,"$45,576.00",0,0,5/28/14,9,3,1,3,8,0,0,0,0,0,SP
4619,1945,PhD,Single,"$113,734.00",0,0,5/28/14,9,27,0,0,1,0,0,0,0,0,SP
940,1987,Graduation,Single,"$57,100.00",1,0,5/18/14,9,3,2,7,3,0,0,0,0,0,SA
10084,1972,Graduation,Married,"$24,434.00",2,0,5/18/14,9,2,1,2,7,0,0,0,0,0,IND
6019,1971,PhD,Married,"$37,126.00",1,0,3/30/14,9,1,2,2,6,1,0,0,0,0,SP
1463,1958,Graduation,Single,"$45,160.00",1,1,3/29/14,9,1,0,2,7,0,0,0,0,0,AUS
6424,1977,Graduation,Together,"$33,178.00",1,0,1/30/14,9,1,0,3,4,0,0,0,0,0,SP
8233,1950,Master,Widow,"$64,866.00",0,1,1/26/14,9,7,3,7,5,0,1,0,0,0,CA
1515,1975,Master,Together,"$34,176.00",0,1,1/22/14,9,1,0,3,3,0,0,0,0,0,CA
10855,1968,Master,Single,"$50,014.00",1,0,1/22/14,9,4,1,8,5,0,0,0,0,0,SP
10909,1948,Graduation,Married,"$92,344.00",0,0,1/15/14,9,5,10,5,1,1,0,1,0,0,AUS
3376,1970,Master,Divorced,"$55,282.00",1,0,12/13/13,9,3,1,6,4,0,0,0,0,0,SP
10232,1963,PhD,Divorced,"$48,799.00",0,1,11/5/13,9,3,2,7,3,0,0,0,0,0,SP
5547,1982,PhD,Married,"$84,169.00",0,0,8/7/13,9,7,6,6,3,0,1,1,0,0,SP
8362,1982,PhD,Married,"$84,169.00",0,0,8/7/13,9,7,6,6,3,0,1,1,0,0,SA
3524,1971,Master,Single,"$39,763.00",1,0,8/4/13,9,5,1,2,9,0,0,0,0,0,SP
10095,1975,PhD,Divorced,"$74,165.00",0,0,5/1/13,9,5,4,10,2,0,0,0,0,0,CA
8897,1965,Graduation,Single,"$42,720.00",1,1,4/24/13,9,7,3,7,8,0,0,0,0,0,GER
466,1944,Graduation,Married,"$65,275.00",0,0,4/3/13,9,4,3,13,2,0,0,0,0,0,SP
11025,1961,Graduation,Married,"$36,443.00",1,1,2/3/13,9,3,1,3,8,0,0,0,0,0,SP
2387,1952,Master,Together,"$43,776.00",1,1,2/3/13,9,5,2,4,8,0,0,0,0,0,SA
1618,1965,Graduation,Together,"$56,046.00",0,0,1/2/13,9,10,1,8,8,1,0,0,0,0,GER
25,1958,Graduation,Married,"$65,148.00",0,1,11/16/12,9,6,6,7,4,0,0,0,0,0,CA
3277,1955,Graduation,Divorced,"$49,431.00",0,1,8/3/12,9,7,1,5,8,0,0,0,0,0,SP
8566,1961,PhD,Together,"$32,583.00",1,1,6/15/14,10,1,0,2,7,0,0,0,0,0,SP
2634,1979,Master,Single,"$16,653.00",1,0,4/18/14,10,2,1,3,6,0,0,0,0,0,SP
8036,1971,2n Cycle,Together,"$26,850.00",1,1,4/18/14,10,2,1,4,4,0,0,0,0,0,SP
8159,1968,Graduation,Married,"$51,287.00",1,1,4/1/14,10,4,1,3,7,0,0,0,0,0,SP
7628,1973,2n Cycle,Married,"$43,050.00",1,0,3/18/14,10,2,0,4,5,0,0,0,0,0,SP
9597,1969,Graduation,Married,"$73,448.00",0,0,2/10/14,10,7,2,9,4,0,0,0,0,0,CA
1384,1992,Basic,Married,"$17,256.00",1,0,11/23/13,10,2,1,2,8,1,0,0,0,0,US
10150,1961,Graduation,Single,"$86,429.00",0,0,11/21/13,10,7,4,7,2,0,0,0,1,0,SA
3885,1983,PhD,Married,"$33,569.00",1,0,10/16/13,10,1,1,2,8,1,0,0,0,0,SP
11003,1980,2n Cycle,Together,"$25,130.00",1,0,10/2/13,10,2,0,3,7,0,0,0,0,0,CA
8026,1952,Graduation,Married,"$62,998.00",0,1,9/30/13,10,5,4,5,5,0,0,0,0,0,CA
577,1976,2n Cycle,Together,"$26,907.00",1,1,8/20/13,10,1,0,3,7,0,0,0,0,0,SP
8702,1976,2n Cycle,Together,"$26,907.00",1,1,8/20/13,10,1,0,3,7,0,0,0,0,0,AUS
5429,1948,PhD,Married,"$45,579.00",0,1,8/20/13,10,4,1,4,6,0,0,0,0,0,SP
977,1957,Graduation,Together,"$47,320.00",0,1,8/1/13,10,5,1,8,6,0,0,0,0,0,CA
2793,1976,PhD,Divorced,"$70,179.00",0,1,7/21/13,10,7,3,13,5,0,0,0,0,0,SA
1071,1976,PhD,Divorced,"$70,179.00",0,1,7/21/13,10,7,3,13,5,0,0,0,0,0,US
5074,1986,Master,Married,"$28,072.00",1,0,7/8/13,10,1,0,3,7,0,0,0,0,0,CA
2632,1954,Graduation,Married,"$50,501.00",1,1,6/18/13,10,5,4,4,6,1,0,0,0,0,IND
